Death Date,Zip Code,Cases
,45002,1
5/30/2020,45002,1
4/1/2020,45030,1
4/24/2020,45030,1
7/16/2020,45140,1
4/27/2020,45202,1
5/21/2020,45202,1
6/29/2020,45202,1
5/3/2020,45205,1
4/30/2020,45206,1
5/10/2020,45206,2
6/5/2020,45206,1
6/7/2020,45206,1
6/12/2020,45206,1
4/17/2020,45207,1
7/3/2020,45207,1
4/11/2020,45209,1
4/16/2020,45209,1
4/24/2020,45209,1
5/20/2020,45209,1
5/12/2020,45211,1
5/25/2020,45211,2
5/27/2020,45211,1
5/29/2020,45211,1
6/2/2020,45211,1
6/19/2020,45211,1
6/26/2020,45211,1
4/4/2020,45212,1
4/6/2020,45212,1
4/7/2020,45212,1
4/13/2020,45212,1
4/14/2020,45212,1
4/27/2020,45212,1
5/8/2020,45212,1
5/27/2020,45212,1
7/5/2020,45212,1
4/13/2020,45213,1
4/15/2020,45213,1
4/17/2020,45213,1
4/19/2020,45213,1
4/22/2020,45213,1
4/23/2020,45213,1
4/27/2020,45213,1
5/21/2020,45213,1
6/29/2020,45213,1
4/5/2020,45214,1
4/10/2020,45214,1
7/10/2020,45214,1
5/12/2020,45215,1
5/13/2020,45215,1
6/7/2020,45215,1
6/9/2020,45215,1
4/22/2020,45216,1
4/24/2020,45216,1
4/28/2020,45216,1
5/21/2020,45218,1
5/30/2020,45219,1
4/17/2020,45220,1
6/27/2020,45220,1
7/8/2020,45220,1
3/28/2020,45224,1
4/13/2020,45224,1
4/17/2020,45224,1
4/27/2020,45224,1
4/4/2020,45225,1
5/15/2020,45225,1
5/22/2020,45225,1
6/13/2020,45227,1
6/22/2020,45227,1
6/30/2020,45227,1
4/28/2020,45229,1
6/18/2020,45229,1
6/28/2020,45229,1
,45231,1
4/6/2020,45231,1
4/7/2020,45231,2
4/9/2020,45231,2
4/10/2020,45231,1
4/15/2020,45231,1
4/18/2020,45231,2
4/20/2020,45231,4
4/22/2020,45231,2
4/23/2020,45231,1
4/24/2020,45231,1
4/26/2020,45231,1
4/27/2020,45231,1
5/1/2020,45231,1
5/6/2020,45231,1
5/7/2020,45231,2
5/8/2020,45231,1
5/12/2020,45231,3
5/13/2020,45231,1
5/14/2020,45231,1
5/15/2020,45231,1
5/17/2020,45231,1
5/19/2020,45231,1
5/20/2020,45231,1
5/30/2020,45231,2
6/26/2020,45231,1
7/7/2020,45231,2
7/14/2020,45231,1
3/30/2020,45233,1
4/23/2020,45233,1
6/7/2020,45236,1
4/1/2020,45238,1
4/3/2020,45238,1
4/8/2020,45238,1
4/28/2020,45238,1
4/30/2020,45238,3
5/1/2020,45238,1
5/2/2020,45238,1
5/4/2020,45238,2
5/10/2020,45238,1
5/12/2020,45238,1
5/13/2020,45238,3
5/18/2020,45238,1
5/19/2020,45238,1
5/20/2020,45238,1
5/27/2020,45238,1
5/2/2020,45239,1
5/29/2020,45239,1
6/4/2020,45239,1
7/3/2020,45239,1
4/8/2020,45240,1
4/12/2020,45240,1
4/17/2020,45240,1
4/20/2020,45240,1
4/23/2020,45240,2
4/25/2020,45240,2
5/6/2020,45240,1
5/7/2020,45240,1
5/8/2020,45240,1
5/12/2020,45240,2
5/15/2020,45240,1
5/17/2020,45240,1
5/26/2020,45240,1
6/13/2020,45240,2
7/10/2020,45240,1
4/25/2020,45241,1
5/9/2020,45241,1
5/15/2020,45241,1
5/19/2020,45241,1
5/21/2020,45241,1
5/22/2020,45241,1
5/24/2020,45241,2
5/27/2020,45241,1
5/29/2020,45241,1
5/30/2020,45241,2
6/1/2020,45241,1
6/3/2020,45241,1
7/10/2020,45241,2
4/17/2020,45242,1
4/18/2020,45242,1
4/22/2020,45242,1
4/27/2020,45242,1
5/25/2020,45242,1
7/11/2020,45242,1
4/13/2020,45243,1
5/6/2020,45243,1
4/18/2020,45246,1
4/21/2020,45246,1
4/24/2020,45246,1
5/7/2020,45246,1
5/26/2020,45246,1
5/29/2020,45246,2
6/3/2020,45246,3
6/4/2020,45246,1
6/8/2020,45246,1
6/17/2020,45246,2
3/26/2020,45247,1
4/2/2020,45248,1
,45249,1
3/24/2020,45251,1
3/29/2020,45251,1
4/1/2020,45251,1
4/2/2020,45251,1
4/3/2020,45251,1
4/4/2020,45251,1
4/5/2020,45251,1
4/12/2020,45251,1
4/17/2020,45251,1
4/18/2020,45251,1
4/24/2020,45251,1
4/29/2020,45251,1
5/5/2020,45251,1
4/5/2020,45252,1
6/1/2020,45255,2
6/2/2020,45255,1
